id,label
high3630_15,B
high3630_16,C
high3631_0,A
high3631_1,A
high3631_2,A
high3631_3,A
high3631_4,A
high3631_5,A
high3631_6,A
high3631_7,A
high3631_8,A
high3631_9,D
high3631_10,A
high3631_11,A
high3631_12,A
high3631_13,A
high3631_14,A
high3631_15,A
high3631_16,A
high3631_17,A
high3631_18,A
high3632_0,A
high3632_1,B
high3632_2,A
high3632_3,A
high3632_4,A
high3632_5,A
high3632_6,A
high3632_7,A
high3632_8,A
high3632_9,A
high3632_10,D
high3632_11,A
high3632_12,A
high3632_13,A
high3632_14,A
high3632_15,A
high3632_16,A
high3632_17,A
high3633_0,A
high3633_1,A
high3633_2,A
high3633_3,C
high3633_4,A
high3633_5,A
high3633_6,B
high3633_7,A
high3633_8,A
high3633_9,A
high3633_10,A
high3633_11,A
high3633_12,A
high3633_13,A
high3633_14,B
high3634_0,A
high3634_1,D
high3634_2,C
high3634_3,A
high3634_4,A
high3634_5,A
high3634_6,A
high3634_7,B
high3634_8,A
high3634_9,A
high3634_10,A
high3634_11,D
high3634_12,A
high3634_13,A
high3634_14,A
high3634_15,A
high3634_16,C
high3634_17,D
high3634_18,A
high3634_19,A
high3635_0,A
high3635_1,A
high3635_2,A
high3635_3,A
high3635_4,A
high3635_5,A
high3635_6,A
high3635_7,A
high3635_8,A
high3635_9,A
high3635_10,A
high3635_11,A
high3635_12,A
high3635_13,A
high3635_14,A
high3636_0,C
high3636_1,B
high3636_2,A
high3636_3,D
high3636_4,A
high3636_5,D
high3636_6,D
high3636_7,A
high3636_8,A
high3636_9,B
high3636_10,A
high3636_11,D
high3636_12,B
high3636_13,A
high3636_14,D
high3636_15,A
high3636_16,B
high3636_17,C
high3637_0,A
high3637_1,A
high3637_2,A
high3637_3,A
high3637_4,A
high3637_5,A
high3637_6,A
high3637_7,A
high3637_8,A
high3637_9,A
high3637_10,D
high3637_11,A
high3637_12,A
high3637_13,A
high3637_14,A
high3637_15,A
high3637_16,A
high3637_17,A
high3638_0,A
high3638_1,A
high3638_2,A
high3638_3,B
high3638_4,C
high3638_5,B
high3638_6,A
high3638_7,C
high3638_8,A
high3638_9,A
high3638_10,A
high3638_11,A
high3638_12,A
high3638_13,A
high3638_14,A
high3638_15,A
high3638_16,A
high3638_17,A
high3639_0,D
high3639_1,A
high3639_2,A
high3639_3,B
high3639_4,A
high3639_5,A
high3639_6,A
high3639_7,A
high3639_8,A
high3639_9,A
high3639_10,A
high3639_11,A
high3640_0,A
high3640_1,A
high3640_2,A
high3640_3,A
high3640_4,A
high3640_5,A
high3640_6,A
high3640_7,A
high3640_8,A
high3640_9,A
high3640_10,C
high3640_11,A
high3640_12,A
high3641_0,A
high3641_1,C
high3641_2,A
high3641_3,A
high3641_4,C
high3641_5,C
high3641_6,A
high3641_7,B
high3641_8,A
high3641_9,A
high3641_10,A
high3641_11,A
high3641_12,A
high3641_13,B
high3641_14,A
high3641_15,B
high3641_16,A
high3641_17,A
high3641_18,A
high3642_0,A
high3642_1,A
high3642_2,A
high3642_3,A
high3642_4,A
high3642_5,A
high3642_6,A
high3642_7,A
high3642_8,A
high3642_9,A
high3642_10,A
high3642_11,A
high3642_12,A
high3642_13,A
high3642_14,A
high3642_15,A
high3642_16,A
high3642_17,A
high3643_0,A
high3643_1,A
high3643_2,A
high3643_3,A
high3643_4,A
high3643_5,A
high3643_6,C
high3643_7,A
high3643_8,A
high3643_9,A
high3643_10,A
high3643_11,A
high3643_12,A
high3643_13,A
high3643_14,B
high3644_0,A
high3644_1,A
high3644_2,A
high3644_3,A
high3644_4,A
high3644_5,A
high3644_6,A
high3644_7,A
high3644_8,A
high3644_9,A
high3644_10,B
high3644_11,A
high3644_12,A
high3644_13,A
high3644_14,A
high3644_15,A
high3644_16,A
high3645_0,A
high3645_1,A
high3645_2,B
high3645_3,A
high3645_4,D
high3645_5,B
high3645_6,A
high3645_7,A
high3645_8,A
high3645_9,A
high3645_10,C
high3645_11,D
high3645_12,A
high3645_13,A
high3645_14,A
high3645_15,B
high3645_16,A
high3645_17,A
high3645_18,C
high3645_19,A
high3646_0,A
high3646_1,A
high3646_2,A
high3646_3,C
high3646_4,A
high3646_5,A
high3646_6,A
high3646_7,D
high3646_8,A
high3646_9,A
high3646_10,A
high3646_11,A
high3646_12,A
high3646_13,B
high3646_14,C
high3646_15,A
high3646_16,A
high3647_0,A
high3647_1,A
high3647_2,A
high3647_3,A
high3647_4,A
high3647_5,A
high3647_6,A
high3647_7,A
high3647_8,D
high3647_9,A
high3647_10,A
high3647_11,A
high3647_12,A
high3647_13,A
high3647_14,D
high3647_15,A
high3647_16,A
high3647_17,A
high3647_18,A
high3648_0,A
high3648_1,A
high3648_2,A
high3648_3,A
high3648_4,A
high3648_5,B
high3648_6,C
high3648_7,A
high3648_8,A
high3648_9,A
high3648_10,A
high3648_11,A
high3648_12,A
high3648_13,A
high3648_14,A
high3648_15,A
high3648_16,A
high3648_17,A
high3648_18,A
high3648_19,A
high3649_0,A
high3649_1,A
high3649_2,A
high3649_3,A
high3649_4,A
high3649_5,A
high3649_6,A
high3649_7,A
high3649_8,A
high3649_9,A
high3649_10,A
high3649_11,A
high3649_12,D
high3649_13,A
high3649_14,A
high3649_15,A
high3649_16,A
high3650_0,A
high3650_1,A
high3650_2,A
high3650_3,A
high3650_4,A
high3650_5,A
high3650_6,A
high3650_7,A
high3650_8,A
high3650_9,A
high3650_10,A
high3650_11,A
high3650_12,A
high3650_13,A
high3650_14,A
high3650_15,A
high3651_0,A
high3651_1,D
high3651_2,A
high3651_3,A
high3651_4,A
high3651_5,A
high3651_6,A
high3651_7,A
high3651_8,A
high3651_9,A
high3651_10,A
high3651_11,A
high3651_12,A
high3651_13,A
high3651_14,A
high3651_15,A
high3651_16,A
high3652_0,A
high3652_1,A
high3652_2,D
high3652_3,A
high3652_4,B
high3652_5,A
high3652_6,A
high3652_7,A
high3652_8,C
high3652_9,A
high3652_10,C
high3652_11,A
high3652_12,A
high3652_13,D
high3652_14,A
high3652_15,B
high3652_16,C
high3652_17,A
high3652_18,C
high3652_19,B
high3653_0,C
high3653_1,A
high3653_2,A
high3653_3,A
high3653_4,A
high3653_5,A
high3653_6,A
high3653_7,A
high3653_8,A
high3653_9,A
high3653_10,A
high3653_11,A
high3653_12,A
high3653_13,A
high3653_14,A
high3653_15,B
high3653_16,A
high3653_17,A
high3653_18,A
high3654_0,A
high3654_1,B
high3654_2,A
high3654_3,A
high3654_4,A
high3654_5,A
high3654_6,A
high3654_7,A
high3654_8,A
high3654_9,A
high3654_10,A
high3654_11,A
high3654_12,C
high3654_13,A
high3654_14,A
high3655_0,A
high3655_1,A
high3655_2,A
high3655_3,D
high3655_4,A
high3655_5,A
high3655_6,A
high3655_7,A
high3656_0,A
high3656_1,A
high3656_2,A
high3656_3,A
high3656_4,A
high3656_5,C
high3656_6,A
high3656_7,A
high3656_8,A
high3656_9,A
high3656_10,A
high3656_11,A
high3656_12,A
high3656_13,B
high3656_14,A
high3656_15,A
high3656_16,A
high3656_17,A
high3656_18,A
high3657_0,A
high3657_1,A
high3657_2,D
high3657_3,A
high3657_4,A
high3657_5,A
high3657_6,A
high3657_7,A
high3657_8,A
high3657_9,A
high3657_10,A
high3657_11,A
high3657_12,A
high3657_13,A
high3657_14,A
high3657_15,A
high3657_16,B
high3657_17,A
high3657_18,A
high3658_0,A
high3658_1,A
high3658_2,A
high3658_3,D
high3658_4,A
high3658_5,C
high3658_6,A
high3658_7,A
high3658_8,A
high3658_9,A
high3658_10,A
high3658_11,A
high3658_12,A
high3658_13,A
high3658_14,A
high3658_15,A
high3658_16,A
high3658_17,A
high3659_0,C
high3659_1,B
high3659_2,A
high3659_3,A
high3659_4,A
high3659_5,A
high3659_6,A
high3659_7,A
high3659_8,C
high3659_9,D
high3659_10,A
high3659_11,A
high3659_12,A
high3659_13,D
high3659_14,A
high3659_15,C
high3659_16,B
high3659_17,A
high3660_0,A
high3660_1,A
high3660_2,A
high3660_3,A
high3660_4,A
high3660_5,A
high3660_6,B
high3660_7,A
high3660_8,C
high3660_9,A
high3660_10,A
high3660_11,A
high3660_12,A
high3660_13,A
high3661_0,A
high3661_1,A
high3661_2,A
high3661_3,A
high3661_4,A
high3661_5,A
high3661_6,A
high3661_7,A
high3661_8,A
high3661_9,A
high3661_10,A
high3661_11,A
high3661_12,A
high3661_13,A
high3661_14,C
high3661_15,A
high3661_16,A
high3661_17,A
high3662_0,A
high3662_1,A
high3662_2,A
high3662_3,A
high3662_4,A
high3662_5,A
high3662_6,A
high3662_7,A
high3662_8,A
high3662_9,A
high3662_10,A
high3662_11,A
high3662_12,A
high3662_13,A
high3662_14,A
high3662_15,A
high3662_16,A
high3663_0,B
high3663_1,A
high3663_2,A
high3663_3,A
high3663_4,A
high3663_5,D
high3663_6,A
high3663_7,A
high3663_8,A
high3663_9,A
high3663_10,A
high3663_11,A
high3663_12,A
high3663_13,A
high3663_14,A
high3663_15,B
high3663_16,A
high3663_17,B
high3664_0,A
high3664_1,A
high3664_2,A
high3664_3,A
high3664_4,A
high3664_5,A
high3664_6,A
high3664_7,A
high3664_8,A
high3664_9,A
high3664_10,A
high3664_11,A
high3664_12,A
high3664_13,A
high3664_14,A
high3664_15,A
high3664_16,A
high3664_17,A
high3665_0,A
high3665_1,A
high3665_2,A
high3665_3,A
high3665_4,A
high3665_5,A
high3665_6,A
high3665_7,A
high3665_8,C
high3665_9,A
high3665_10,C
high3665_11,A
high3665_12,A
high3665_13,A
high3665_14,A
high3665_15,A
high3665_16,C
high3665_17,A
high3665_18,A
high3666_0,A
high3666_1,A
high3666_2,A
high3666_3,A
high3666_4,A
high3666_5,A
high3666_6,A
high3666_7,A
high3666_8,A
high3666_9,A
high3666_10,A
high3666_11,A
high3666_12,A
high3666_13,A
high3666_14,A
high3666_15,A
high3666_16,A
high3667_0,A
high3667_1,A
high3667_2,C
high3667_3,A
high3667_4,A
high3667_5,A
high3667_6,A
high3667_7,A
high3667_8,A
high3667_9,A
high3667_10,A
high3667_11,A
high3667_12,A
high3667_13,A
high3667_14,A
high3667_15,A
high3667_16,A
high3667_17,B
high3668_0,C
high3668_1,A
high3668_2,A
high3668_3,B
high3668_4,A
high3668_5,A
high3668_6,A
high3668_7,A
high3668_8,A
high3668_9,A
high3668_10,A
high3668_11,A
high3668_12,A
high3668_13,A
high3668_14,A
high3668_15,A
high3668_16,A
high3668_17,A
high3668_18,A
high3669_0,B
high3669_1,A
high3669_2,B
high3669_3,A
high3669_4,A
high3669_5,A
high3669_6,A
high3669_7,A
high3669_8,D
high3669_9,A
high3669_10,A
high3669_11,A
high3669_12,A
high3669_13,A
high3669_14,A
high3669_15,A
high3669_16,A
high3669_17,D
high3669_18,A
high3669_19,A
high3670_0,A
high3670_1,A
high3670_2,A
high3670_3,A
high3670_4,A
high3670_5,D
high3670_6,A
high3670_7,A
high3670_8,D
high3670_9,A
high3670_10,A
high3670_11,A
high3670_12,A
high3670_13,A
high3670_14,A
high3670_15,A
high3670_16,A
high3670_17,A
high3670_18,A
high3670_19,A
high3671_0,D
high3671_1,B
high3671_2,A
high3671_3,A
high3671_4,A
high3671_5,B
high3671_6,A
high3671_7,A
high3671_8,A
high3671_9,A
high3671_10,A
high3671_11,A
high3672_0,A
high3672_1,A
high3672_2,A
high3672_3,A
high3672_4,A
high3672_5,A
high3672_6,A
high3672_7,A
high3672_8,A
high3672_9,A
high3673_0,A
high3673_1,A
high3673_2,A
high3673_3,C
high3673_4,B
high3673_5,A
high3673_6,A
high3673_7,A
high3673_8,A
high3673_9,D
high3673_10,A
high3673_11,A
high3673_12,A
high3673_13,A
high3673_14,A
high3674_0,A
high3674_1,A
high3674_2,B
high3674_3,B
high3674_4,A
high3674_5,A
high3674_6,A
high3674_7,C
high3674_8,A
high3674_9,C
high3674_10,B
high3674_11,A
high3674_12,A
high3674_13,A
high3674_14,B
high3674_15,A
high3675_0,C
high3675_1,A
high3675_2,A
high3675_3,A
high3675_4,A
high3675_5,A
high3675_6,A
high3675_7,B
high3675_8,A
high3675_9,A
high3675_10,A
high3675_11,A
high3675_12,B
high3675_13,A
high3675_14,A
high3675_15,A
high3675_16,A
high3675_17,A
high3676_0,C
high3676_1,A
high3676_2,A
high3676_3,A
high3676_4,A
high3676_5,A
high3676_6,A
high3676_7,B
high3676_8,A
high3676_9,A
high3676_10,A
high3676_11,A
high3676_12,A
high3676_13,A
high3676_14,C
high3676_15,A
high3676_16,A
high3676_17,A
high3676_18,D
high3677_0,A
high3677_1,A
high3677_2,B
high3677_3,A
high3677_4,A
high3677_5,A
high3677_6,B
high3677_7,A
high3677_8,A
high3677_9,A
high3677_10,D
high3677_11,A
high3677_12,A
high3677_13,A
high3677_14,A
high3678_0,C
high3678_1,B
high3678_2,A
high3678_3,A
high3678_4,D
high3678_5,A
high3678_6,C
high3678_7,D
high3678_8,A
high3678_9,A
high3678_10,A
high3678_11,A
high3678_12,A
high3678_13,A
high3678_14,A
high3678_15,D
high3678_16,A
high3678_17,A
high3678_18,A
high3679_0,A
high3679_1,D
high3679_2,A
high3679_3,B
high3679_4,A
high3679_5,A
high3679_6,A
high3679_7,A
high3679_8,A
high3679_9,B
high3679_10,A
high3679_11,A
high3679_12,C
high3679_13,A
high3679_14,A
high3679_15,A
high3680_0,D
high3680_1,A
high3680_2,B
high3680_3,A
high3680_4,B
high3680_5,A
high3680_6,A
high3680_7,D
high3680_8,A
high3680_9,A
high3680_10,B
high3680_11,A
high3680_12,A
high3680_13,A
high3680_14,A
high3680_15,A
high3680_16,D
high3680_17,A
high3680_18,B
high3681_0,B
high3681_1,A
high3681_2,A
high3681_3,A
high3681_4,A
high3681_5,A
high3681_6,A
high3681_7,A
high3681_8,A
high3681_9,B
high3681_10,D
high3681_11,B
high3681_12,A
high3681_13,A
high3681_14,A
high3682_0,A
high3682_1,A
high3682_2,A
high3682_3,A
high3682_4,A
high3682_5,A
high3682_6,A
high3682_7,D
high3682_8,A
high3682_9,A
high3682_10,A
high3682_11,A
high3682_12,A
high3682_13,A
high3682_14,A
high3682_15,A
high3682_16,A
high3682_17,A
high3683_0,A
high3683_1,A
high3683_2,A
high3683_3,A
high3683_4,C
high3683_5,A
high3683_6,A
high3683_7,A
high3683_8,A
high3683_9,A
high3683_10,A
high3683_11,A
high3683_12,A
high3683_13,A
high3683_14,A
high3683_15,A
high3683_16,A
high3683_17,A
high3683_18,A
high3683_19,A
high3684_0,C
high3684_1,A
high3684_2,A
high3684_3,A
high3684_4,A
high3684_5,A
high3684_6,A
high3684_7,C
high3684_8,A
high3684_9,A
high3684_10,A
high3684_11,A
high3684_12,A
high3684_13,A
high3684_14,A
high3684_15,A
high3684_16,A
high3684_17,A
high3685_0,B
high3685_1,A
high3685_2,A
high3685_3,A
high3685_4,A
high3685_5,A
high3685_6,A
high3685_7,D
high3685_8,A
high3685_9,A
high3685_10,A
high3685_11,B
high3685_12,A
high3685_13,A
high3685_14,A
high3685_15,A
high3685_16,A
high3685_17,A
high3686_0,A
high3686_1,A
high3686_2,A
high3686_3,A
high3686_4,A
high3686_5,A
high3686_6,A
high3686_7,A
high3686_8,A
high3686_9,A
high3686_10,A
high3686_11,A
high3686_12,A
high3686_13,A
high3686_14,A
high3686_15,A
high3686_16,A
high3686_17,A
high3686_18,A
high3686_19,A
high3687_0,A
high3687_1,B
high3687_2,A
high3687_3,A
high3687_4,A
high3687_5,A
high3687_6,A
high3687_7,A
high3687_8,A
high3687_9,C
high3687_10,A
high3687_11,A
high3687_12,A
high3687_13,C
high3687_14,A
high3687_15,A
high3687_16,A
high3687_17,A
high3687_18,A
high3688_0,A
high3688_1,A
high3688_2,A
high3688_3,A
high3688_4,B
high3688_5,A
high3688_6,A
high3688_7,A
high3688_8,A
high3688_9,A
high3688_10,A
high3689_0,A
high3689_1,A
high3689_2,A
high3689_3,A
high3689_4,A
high3689_5,A
high3689_6,A
high3689_7,A
high3689_8,A
high3689_9,A
high3689_10,A
high3689_11,A
high3689_12,A
high3689_13,A
high3689_14,A
high3689_15,A
high3689_16,A
high3689_17,A
high3689_18,A
high3690_0,A
high3690_1,A
high3690_2,A
high3690_3,D
high3690_4,A
high3690_5,A
high3690_6,A
high3690_7,A
high3690_8,A
high3690_9,A
high3690_10,A
high3691_0,C
high3691_1,A
high3691_2,A
high3691_3,A
high3691_4,A
high3691_5,A
high3691_6,A
high3691_7,A
high3691_8,A
high3691_9,A
high3691_10,A
high3691_11,A
high3691_12,A
high3691_13,A
high3691_14,A
high3691_15,A
high3691_16,B
high3691_17,B
high3692_0,A
high3692_1,A
high3692_2,A
high3692_3,A
high3692_4,A
high3692_5,A
high3692_6,A
high3692_7,A
high3692_8,A
high3692_9,A
high3692_10,B
high3692_11,A
high3692_12,A
high3692_13,A
high3692_14,A
high3692_15,A
high3692_16,A
high3692_17,A
high3693_0,A
high3693_1,A
high3693_2,A
high3693_3,C
high3693_4,A
high3693_5,A
high3693_6,A
high3693_7,A
high3693_8,A
high3693_9,C
high3693_10,A
high3693_11,A
high3693_12,A
high3693_13,A
high3693_14,C
high3693_15,A
high3693_16,A
high3693_17,A
high3693_18,A
high3693_19,A
high3694_0,A
high3694_1,A
high3694_2,A
high3694_3,A
high3694_4,A
high3694_5,B
high3694_6,B
high3694_7,A
high3694_8,A
high3694_9,C
high3694_10,A
high3694_11,A
high3694_12,A
high3694_13,A
high3694_14,B
high3694_15,A
high3694_16,A
high3695_0,A
high3695_1,A
high3695_2,A
high3695_3,A
high3695_4,A
high3695_5,A
high3695_6,A
high3695_7,A
high3695_8,A
high3695_9,A
high3695_10,A
high3695_11,A
high3695_12,A
high3695_13,A
high3695_14,C
high3695_15,C
high3695_16,C
high3695_17,A
high3696_0,A
high3696_1,A
high3696_2,A
high3696_3,A
high3696_4,D
high3696_5,A
high3696_6,A
high3696_7,A
high3696_8,A
high3696_9,A
high3696_10,A
high3696_11,A
high3696_12,A
high3696_13,A
high3696_14,A
high3696_15,D
high3696_16,A
high3696_17,A
high3697_0,A
high3697_1,A
high3697_2,A
high3697_3,A
high3697_4,A
high3697_5,A
high3697_6,A
high3697_7,A
high3697_8,A
high3697_9,A
high3697_10,A
high3697_11,A
high3697_12,A
high3697_13,A
high3697_14,B
high3697_15,A
high3698_0,A
high3698_1,A
high3698_2,A
high3698_3,A
high3698_4,A
high3698_5,D
high3698_6,A
high3698_7,B
high3698_8,A
high3698_9,A
high3698_10,B
high3698_11,A
high3698_12,C
high3698_13,A
high3698_14,B
high3698_15,A
high3698_16,D
high3698_17,A
high3699_0,A
high3699_1,A
high3699_2,A
high3699_3,A
high3699_4,A
high3699_5,A
high3699_6,A
high3699_7,A
high3699_8,A
high3699_9,A
high3699_10,B
high3699_11,A
high3699_12,A
high3699_13,A
high3699_14,A
high3699_15,A
high3699_16,A
high3699_17,A
high3699_18,A
high3699_19,A
high3700_0,A
high3700_1,A
high3700_2,A
high3700_3,A
high3700_4,A
high3700_5,A
high3700_6,A
high3700_7,A
high3700_8,A
high3700_9,A
high3700_10,A
high3700_11,A
high3700_12,A
high3700_13,A
high3700_14,A
high3700_15,A
high3700_16,A
high3700_17,A
high3700_18,A
high3701_0,A
high3701_1,A
high3701_2,A
high3701_3,A
high3701_4,A
high3701_5,A
high3701_6,A
high3701_7,A
high3701_8,A
high3701_9,A
high3701_10,A
high3701_11,A
high3701_12,A
high3701_13,A
high3701_14,A
high3701_15,A
high3701_16,A
high3701_17,A
high3701_18,A
high3702_0,A
high3702_1,A
high3702_2,A
high3702_3,A
high3702_4,A
high3702_5,A
high3702_6,A
high3702_7,A
high3702_8,A
high3702_9,A
high3702_10,A
high3702_11,A
high3702_12,A
high3702_13,A
high3702_14,A
high3702_15,A
high3702_16,A
high3702_17,A
high3702_18,A
high3703_0,A
high3703_1,A
high3703_2,A
high3703_3,C
high3703_4,A
high3703_5,A
high3703_6,A
high3703_7,A
high3703_8,A
high3703_9,B
high3703_10,A
high3703_11,A
high3703_12,A
high3703_13,A
high3703_14,A
high3703_15,A
high3703_16,A
high3703_17,B
high3703_18,B
high3704_0,A
high3704_1,A
high3704_2,A
high3704_3,A
high3704_4,A
high3704_5,B
high3704_6,C
high3704_7,A
high3704_8,C
high3704_9,A
high3704_10,A
high3704_11,D
high3704_12,A
high3704_13,C
high3704_14,A
high3704_15,A
high3704_16,A
high3704_17,D
high3704_18,A
high3704_19,A
high3705_0,A
high3705_1,A
high3705_2,A
high3705_3,C
high3705_4,A
high3705_5,A
high3705_6,A
high3705_7,A
high3705_8,C
high3705_9,A
high3705_10,A
high3705_11,A
high3705_12,A
high3705_13,A
high3705_14,A
high3705_15,A
high3705_16,A
high3705_17,A
high3705_18,A
high3706_0,A
high3706_1,A
high3706_2,A
high3706_3,A
high3706_4,A
high3706_5,A
high3706_6,A
high3706_7,A
high3706_8,A
high3706_9,A
high3706_10,A
high3706_11,A
high3706_12,A
high3706_13,A
high3706_14,A
high3707_0,A
high3707_1,A
high3707_2,A
high3707_3,A
high3707_4,A
high3707_5,A
high3707_6,A
high3707_7,A
high3707_8,A
high3707_9,A
high3707_10,A
high3707_11,A
high3707_12,A
high3707_13,A
high3708_0,A
high3708_1,A
high3708_2,A
high3708_3,A
high3708_4,A
high3708_5,A
high3708_6,A
high3708_7,A
high3708_8,A
high3708_9,A
high3708_10,A
high3708_11,A
high3708_12,A
high3708_13,A
high3708_14,A
high3708_15,A
high3708_16,C
high3709_0,A
high3709_1,A
high3709_2,A
high3709_3,A
high3709_4,A
high3709_5,A
high3709_6,A
high3709_7,A
high3709_8,A
high3709_9,A
high3709_10,A
high3709_11,A
high3709_12,A
high3709_13,A
high3709_14,A
high3709_15,A
high3709_16,A
high3709_17,A
high3709_18,A
high3709_19,A
high3710_0,A
high3710_1,A
high3710_2,A
high3710_3,A
high3710_4,A
high3710_5,A
high3710_6,A
high3710_7,A
high3710_8,A
high3710_9,A
high3710_10,A
high3710_11,A
high3710_12,A
high3710_13,C
high3710_14,A
high3710_15,A
high3710_16,A
high3710_17,A
high3711_0,A
high3711_1,A
high3711_2,A
high3711_3,A
high3711_4,A
high3711_5,A
high3711_6,A
high3711_7,A
high3711_8,A
high3711_9,A
high3711_10,C
high3711_11,B
high3711_12,D
high3711_13,A
high3711_14,A
high3711_15,A
high3711_16,A
high3711_17,A
high3711_18,A
high3712_0,A
high3712_1,A
high3712_2,B
high3712_3,A
high3712_4,A
high3712_5,A
high3712_6,A
high3712_7,A
high3712_8,D
high3712_9,A
high3713_0,A
high3713_1,A
high3713_2,B
high3713_3,A
high3713_4,A
high3713_5,A
high3713_6,A
high3713_7,A
high3713_8,A
high3713_9,C
high3713_10,A
high3713_11,B
high3713_12,A
high3713_13,A
high3713_14,A
high3713_15,A
high3713_16,A
high3713_17,A
high3714_0,A
high3714_1,A
high3714_2,A
high3714_3,A
high3714_4,B
high3714_5,A
high3714_6,A
high3714_7,A
high3714_8,A
high3714_9,A
high3714_10,A
high3714_11,A
high3714_12,A
high3714_13,A
high3714_14,A
high3714_15,A
high3715_0,A
high3715_1,A
high3715_2,A
high3715_3,A
high3715_4,B
high3715_5,A
high3715_6,A
high3715_7,A
high3715_8,A
high3715_9,A
high3715_10,A
high3715_11,A
high3715_12,A
high3715_13,A
high3715_14,A
high3715_15,A
high3715_16,A
high3716_0,A
high3716_1,A
high3716_2,B
high3716_3,A
high3716_4,A
high3716_5,A
high3716_6,A
high3716_7,C
high3716_8,A
high3716_9,A
high3716_10,B
high3716_11,A
high3716_12,B
high3716_13,A
high3716_14,A
high3717_0,A
high3717_1,A
high3717_2,A
high3717_3,A
high3717_4,A
high3717_5,A
high3717_6,A
high3717_7,A
high3717_8,A
high3717_9,A
high3717_10,A
high3717_11,A
high3717_12,A
high3717_13,A
high3717_14,A
high3717_15,A
high3717_16,A
high3717_17,A
high3717_18,B
high3718_0,D
high3718_1,B
high3718_2,C
high3718_3,A
high3718_4,B
high3718_5,C
high3718_6,A
high3718_7,A
high3718_8,A
high3718_9,A
high3718_10,A
high3718_11,C
high3718_12,A
high3718_13,D
high3719_0,A
high3719_1,D
high3719_2,C
high3719_3,A
high3719_4,A
high3719_5,A
high3719_6,A
high3719_7,A
high3719_8,A
high3719_9,A
high3719_10,A
high3719_11,A
high3719_12,A
high3719_13,A
high3719_14,A
high3719_15,A
high3719_16,A
high3719_17,A
high3720_0,C
high3720_1,A
high3720_2,A
high3720_3,A
high3720_4,A
high3720_5,A
high3720_6,A
high3720_7,A
high3720_8,B
high3720_9,B
high3720_10,D
high3720_11,A
high3720_12,A
high3720_13,A
high3720_14,A
high3720_15,A
high3720_16,A
high3720_17,A
high3720_18,A
high3720_19,A
high3721_0,A
high3721_1,A
high3721_2,A
high3721_3,A
high3721_4,A
high3721_5,A
high3721_6,A
high3721_7,A
high3721_8,B
high3721_9,A
high3721_10,A
high3721_11,A
high3721_12,A
high3721_13,A
high3721_14,A
high3721_15,A
high3721_16,A
high3721_17,A
high3722_0,A
high3722_1,A
high3722_2,A
high3722_3,A
high3722_4,A
high3722_5,A
high3722_6,A
high3722_7,A
high3722_8,B
high3722_9,A
high3722_10,B
high3722_11,A
high3722_12,A
high3722_13,A
high3722_14,A
high3722_15,A
high3722_16,A
